"Entidade Executora";"UF";"ANO";"Valor Transferido";"Valor aquisições da agricultura familiar";"Percentual.x";"Código IBGE";"Valor transferido";"Valor aquisições agricultura familiar";"Percentual.y"
"PREF MUN DE ALFREDO VASCONCELOS";"MG";2011;43080;23236,43;0,539378597957289;3101631;49880;11158,37;0,223704290296712
"PREF MUN DE ALFREDO WAGNER";"SC";2011;62100;0;0;4200705;73900;6374,2;0,086254397834912
"PREF MUN DE ALGODAO DE JANDAIRA";"PB";2011;51780;9673,6;0,186821166473542;2500577;72152;24897,93;0,345076089366892
"PREF MUN DE ALHANDRA";"PB";2011;235920;70775,27;0,299996905730756;2500601;289008;83010,71;0,287226339755301
"PREF MUN DE ALIANCA";"PE";2011;503580;26552;0,0527264784145518;2600708;661588;0;0
"PREF MUN DE ALIANCA DO TOCANTINS";"TO";2011;46620;8667,78;0,185924066924067;1700350;66988;8133,8;0,121421747178599
"PREF MUN DE ALMADINA";"BA";NA;NA;NA;NA;2900900;100092;0;0
"PREF MUN DE ALMAS";"TO";2011;35490;11921,39;0,335908424908425;1700400;84030;10863;0,12927525883613
"PREF MUN DE ALMEIRIM";"PA";2011;699660;0;0;1500503;740236;0;0
"PREF MUN DE ALMENARA";"MG";2011;321900;96570;0,3;3101706;435000;79360,5;0,182437931034483
"PREF MUN DE ALMINO AFONSO";"RN";2011;32520;0;0;2400604;20910;0;0
"PREF MUN DE ALMIRANTE TAMANDARE";"PR";2011;605232;33523,85;0,0553900818198641;4100400;943220;79828,93;0,0846344755200271
"PREF MUN DE ALMIRANTE TAMANDARE DO SUL";"RS";2011;10200;5700,87;0,558908823529412;4300471;19300;5233,61;0,271171502590674
"PREF MUN DE ALOANDIA";"GO";2011;3120;0;0;5200506;3420;0;0
